"date","geography","geography code","Rural Urban","Bedrooms: All categories: Number of bedrooms; measures: Value","Bedrooms: No bedrooms; measures: Value","Bedrooms: 1 bedroom; measures: Value","Bedrooms: 2 bedrooms; measures: Value","Bedrooms: 3 bedrooms; measures: Value","Bedrooms: 4 bedrooms; measures: Value","Bedrooms: 5 or more bedrooms; measures: Value"
"2011","Nuthall East and Strelley","E05006416","Total",2022,6,25,382,865,614,130
"2011","Nuthall West and Greasley (Watnall)","E05006417","Total",2146,3,157,486,887,512,101
"2011","Stapleford North","E05006418","Total",2030,7,137,488,1288,91,19
"2011","Stapleford South East","E05006419","Total",2162,3,197,490,1168,253,51
"2011","Stapleford South West","E05006420","Total",2327,3,68,829,1279,131,17
"2011","Toton and Chilwell Meadows","E05006421","Total",3350,2,105,712,1580,853,98
"2011","Trowell","E05006422","Total",1007,0,28,160,564,224,31
"2011","Bestwood Village","E05006423","Total",849,0,35,259,414,125,16
"2011","Bonington","E05006424","Total",2967,2,277,876,1306,429,77
"2011","Burton Joyce and Stoke Bardolph","E05006425","Total",1585,6,58,362,682,356,121
"2011","Calverton","E05006426","Total",2987,5,76,696,1638,468,104
"2011","Carlton","E05006427","Total",3135,4,393,868,1397,388,85
"2011","Carlton Hill","E05006428","Total",3151,8,102,876,1865,243,57
"2011","Daybrook","E05006429","Total",2294,5,291,643,1218,97,40
"2011","Gedling","E05006430","Total",2789,6,130,501,1430,604,118
"2011","Killisick","E05006431","Total",1026,2,151,94,706,54,19
"2011","Kingswell","E05006432","Total",2167,1,111,666,1005,314,70
"2011","Lambley","E05006433","Total",927,1,42,248,336,220,80
"2011","Mapperley Plains","E05006434","Total",3153,2,92,906,1573,468,112
"2011","Netherfield and Colwick","E05006435","Total",3451,5,266,1548,1319,263,50
"2011","Newstead","E05006436","Total",949,0,30,180,493,149,97
"2011","Phoenix","E05006437","Total",2019,1,79,324,1412,171,32
"2011","Porchester","E05006438","Total",3125,21,240,572,1745,427,120
"2011","Ravenshead","E05006439","Total",2465,1,32,403,942,860,227
"2011","St James","E05006440","Total",1838,3,71,318,1182,234,30
"2011","St Marys","E05006441","Total",2781,5,132,755,1444,385,60
"2011","Valley","E05006442","Total",1896,1,132,603,979,154,27
"2011","Woodborough","E05006443","Total",886,0,110,195,255,248,78
"2011","Woodthorpe","E05006444","Total",2909,4,120,524,1306,719,236
"2011","Abbott","E05008857","Total",1100,2,209,178,650,44,17
"2011","Berry Hill","E05008858","Total",1026,2,16,274,474,216,44
"2011","Brick Kiln","E05008859","Total",1322,9,86,314,852,47,14
"2011","Broomhill","E05008860","Total",1382,0,127,509,677,58,11
"2011","Bull Farm and Pleasley Hill","E05008861","Total",1452,4,154,362,798,118,16
"2011","Carr Bank","E05008862","Total",1448,5,262,466,577,99,39
"2011","Eakring","E05008863","Total",1182,4,53,261,664,181,19
"2011","Grange Farm","E05008864","Total",1214,2,36,274,713,156,33
"2011","Holly","E05008865","Total",1241,2,16,329,499,368,27
"2011","Hornby","E05008866","Total",1132,1,4,204,713,176,34
"2011","Kings Walk","E05008867","Total",1198,2,22,281,551,313,29
"2011","Kingsway","E05008868","Total",1286,1,86,297,731,154,17
"2011","Ladybrook","E05008869","Total",1565,9,188,514,752,79,23
"2011","Lindhurst","E05008870","Total",1228,1,23,257,563,339,45
"2011","Ling Forest","E05008871","Total",1074,4,15,219,683,127,26
"2011","Manor","E05008872","Total",1128,1,18,334,604,147,24
"2011","Market Warsop","E05008873","Total",1315,2,76,318,799,96,24
"2011","Maun Valley","E05008874","Total",1112,1,124,361,401,211,14
"2011","Meden","E05008875","Total",1158,4,60,245,730,94,25
"2011","Netherfield","E05008876","Total",1199,1,63,161,852,95,27
"2011","Newgate","E05008877","Total",1366,4,284,545,482,35,16
"2011","Newlands","E05008878","Total",1287,1,8,239,859,156,24
"2011","Oak Tree","E05008879","Total",1277,1,275,450,391,140,20
"2011","Oakham","E05008880","Total",1116,2,29,178,576,230,101
"2011","Park Hall","E05008881","Total",1472,4,188,436,754,76,14
"2011","Peafields","E05008882","Total",1179,4,31,341,596,186,21
"2011","Penniment","E05008883","Total",1222,1,34,367,771,36,13
"2011","Portland","E05008884","Total",1054,7,123,561,302,43,18
"2011","Racecourse","E05008885","Total",1336,6,150,481,583,99,17
"2011","Ransom Wood","E05008886","Total",1251,0,320,243,580,89,19
"2011","Sandhurst","E05008887","Total",1246,2,37,404,638,138,27
"2011","Sherwood","E05008888","Total",1081,2,101,280,580,101,17
"2011","Warsop Carrs","E05008889","Total",1263,1,68,261,811,113,9
"2011","Woodhouse","E05008890","Total",1423,1,229,249,871,61,12
"2011","Woodlands","E05008891","Total",1039,2,123,362,391,107,54
"2011","Yeoman Hill","E05008892","Total",1554,1,104,498,702,225,24
"2011","Balderton North","E05006464","Total",2202,3,114,587,1121,268,109
"2011","Balderton West","E05006465","Total",2101,3,79,645,1109,225,40
"2011","Beacon","E05006466","Total",3141,4,171,957,1273,581,155
"2011","Blidworth","E05006467","Total",1870,9,54,438,1163,169,37
"2011","Boughton","E05006468","Total",2086,8,158,406,1250,218,46
"2011","Bridge","E05006469","Total",2132,3,187,538,1233,150,21
"2011","Castle","E05006470","Total",2328,7,460,749,802,263,47
"2011","Caunton","E05006471","Total",937,0,12,159,392,254,120
"2011","Clipstone","E05006472","Total",1827,8,70,275,1067,248,159
"2011","Collingham and Meering","E05006473","Total",1997,1,50,470,805,489,182
"2011","Devon","E05006474","Total",2441,7,197,560,1457,195,25
"2011","Edwinstowe","E05006475","Total",2268,7,82,479,1269,307,124
"2011","Farndon","E05006476","Total",2524,4,67,633,1019,564,237
"2011","Farnsfield and Bilsthorpe","E05006477","Total",3433,5,94,638,1699,714,283
"2011","Lowdham","E05006478","Total",1979,2,62,318,769,609,219
"2011","Magnus","E05006479","Total",2342,6,246,596,1217,209,68
"2011","Muskham","E05006480","Total",1029,1,18,161,401,316,132
"2011","Ollerton","E05006481","Total",2860,5,183,559,1846,228,39
"2011","Rainworth","E05006482","Total",2904,5,105,698,1659,360,77
"2011","Southwell East","E05006483","Total",1003,0,49,213,319,315,107
"2011","Southwell North","E05006484","Total",1084,0,74,243,457,263,47
"2011","Southwell West","E05006485","Total",1145,0,103,194,377,333,138
"2011","Sutton-on-Trent","E05006486","Total",1032,1,60,189,412,260,110
"2011","Trent","E05006487","Total",949,0,13,113,268,354,201
"2011","Winthorpe","E05006488","Total",1159,1,40,153,502,365,98
"2011","Abbey","E05006489","Total",1862,1,75,225,953,480,128
"2011","Bingham East","E05006490","Total",1926,0,38,477,864,432,115
"2011","Bingham West","E05006491","Total",1963,5,97,592,760,426,83
"2011","Compton Acres","E05006492","Total",1867,3,60,300,615,751,138
"2011","Cotgrave","E05006493","Total",2928,2,102,573,1594,572,85
"2011","Cranmer","E05006494","Total",820,1,23,214,326,173,83
"2011","Edwalton Village","E05006495","Total",1699,3,53,445,561,412,225
"2011","Gamston","E05006496","Total",2199,2,110,627,531,758,171
"2011","Gotham","E05006497","Total",892,0,23,241,430,150,48
"2011","Keyworth North","E05006498","Total",719,0,4,142,264,253,56
"2011","Keyworth South","E05006499","Total",2260,6,65,542,1119,437,91
"2011","Lady Bay","E05006500","Total",1973,2,147,294,800,575,155
"2011","Leake","E05006501","Total",2649,2,57,513,1178,723,176
"2011","Lutterell","E05006502","Total",1760,1,176,421,728,339,95
"2011","Manvers","E05006503","Total",1766,1,66,391,796,330,182
"2011","Melton","E05006504","Total",2027,0,110,568,690,499,160
"2011","Musters","E05006505","Total",1563,2,92,180,525,502,262
"2011","Nevile","E05006506","Total",772,1,12,96,285,261,117
"2011","Oak","E05006507","Total",944,3,30,170,371,266,104
"2011","Ruddington","E05006508","Total",3146,8,137,824,1470,545,162
"2011","Soar Valley","E05006509","Total",861,2,44,175,331,218,91
"2011","Stanford","E05006510","Total",1038,0,15,150,360,344,169
"2011","Thoroton","E05006511","Total",851,1,26,148,325,258,93
"2011","Tollerton","E05006512","Total",793,0,8,142,379,213,51
"2011","Trent","E05006513","Total",2074,2,179,469,854,413,157
"2011","Trent Bridge","E05006514","Total",1992,16,641,473,259,288,315
"2011","Wiverton","E05006515","Total",1625,0,46,407,673,348,151
"2011","Wolds","E05006516","Total",866,0,7,127,270,292,170
"2011","Aylestone","E05001842","Total",2894,9,390,668,1253,459,115
"2011","Backbury","E05001843","Total",1287,0,94,251,512,295,135
"2011","Belmont","E05001844","Total",4068,4,382,1287,1869,460,66
"2011","Bircher","E05001845","Total",1226,1,30,251,546,276,122
"2011","Bringsty","E05001846","Total",1190,1,79,212,493,270,135
"2011","Bromyard","E05001847","Total",2598,5,278,709,1045,413,148
"2011","Burghill, Holmer and Lyde","E05001848","Total",1320,2,49,177,537,397,158
"2011","Castle","E05001849","Total",1351,1,53,278,573,289,157
"2011","Central","E05001850","Total",1497,7,464,401,437,127,61
"2011","Credenhill","E05001851","Total",1369,3,52,268,659,304,83
"2011","Frome","E05001852","Total",1385,2,47,263,576,324,173
"2011","Golden Cross with Weobley","E05001853","Total",1297,6,56,260,575,301,99
"2011","Golden Valley North","E05001854","Total",1299,0,46,284,543,280,146
"2011","Golden Valley South","E05001855","Total",1274,2,60,258,546,281,127
"2011","Hagley","E05001856","Total",1471,2,62,256,609,402,140
"2011","Hampton Court","E05001857","Total",1141,1,44,231,482,264,119
"2011","Hollington","E05001858","Total",896,1,70,164,366,198,97
"2011","Hope End","E05001859","Total",2399,5,145,461,878,655,255
"2011","Kerne Bridge","E05001860","Total",1320,1,81,282,486,334,136
"2011","Kington Town","E05001861","Total",1459,2,124,428,641,198,66
"2011","Ledbury","E05001862","Total",4315,2,373,1408,1605,754,173
"2011","Leominster North","E05001863","Total",2497,4,208,778,1143,282,82
"2011","Leominster South","E05001864","Total",2687,5,365,797,1074,340,106
"2011","Llangarron","E05001865","Total",1372,0,55,287,501,349,180
"2011","Mortimer","E05001866","Total",1389,1,51,307,630,243,157
"2011","Old Gore","E05001867","Total",1304,2,58,272,488,308,176
"2011","Pembridge and Lyonshall with Titley","E05001868","Total",1282,1,38,266,602,252,123
"2011","Penyard","E05001869","Total",1425,2,100,276,482,409,156
"2011","Pontrilas","E05001870","Total",1426,4,54,225,607,366,170
"2011","Ross-on-Wye East","E05001871","Total",2236,1,291,650,823,375,96
"2011","Ross-on-Wye West","E05001872","Total",2548,9,403,802,897,355,82
"2011","St Martins and Hinton","E05001873","Total",5258,11,711,1281,2634,516,105
"2011","St Nicholas","E05001874","Total",3032,9,350,779,1435,355,104
"2011","Stoney Street","E05001875","Total",1239,1,75,239,568,267,89
"2011","Sutton Walls","E05001876","Total",1292,2,76,186,584,348,96
"2011","Three Elms","E05001877","Total",4723,12,785,1465,1747,598,116
"2011","Tupsley","E05001878","Total",3906,9,267,681,1968,777,204
"2011","Upton","E05001879","Total",1225,1,42,241,512,306,123
"2011","Valletts","E05001880","Total",1318,0,62,213,629,303,111
"2011","Wormsley Ridge","E05001881","Total",1104,0,52,186,482,274,110
"2011","Abbey","E05008136","Total",1814,12,291,502,680,261,68
"2011","Albrighton","E05008137","Total",2004,1,78,471,1076,292,86
"2011","Alveley and Claverley","E05008138","Total",1694,3,65,397,699,381,149
"2011","Bagley","E05008139","Total",1941,2,93,513,941,326,66
"2011","Battlefield","E05008140","Total",1719,1,42,378,1064,201,33
"2011","Bayston Hill, Column and Sutton","E05008141","Total",5240,5,328,938,2741,1000,228
"2011","Belle Vue","E05008142","Total",2186,8,345,662,814,245,112
"2011","Bishop's Castle","E05008143","Total",1621,6,100,374,730,266,145
"2011","Bowbrook","E05008144","Total",1806,4,349,552,483,360,58
"2011","Bridgnorth East and Astley Abbotts","E05008145","Total",3012,2,283,891,1273,419,144
"2011","Bridgnorth West and Tasley","E05008146","Total",3089,4,349,859,1199,522,156
"2011","Broseley","E05008147","Total",2139,0,169,668,933,281,88
"2011","Brown Clee","E05008148","Total",1564,3,65,317,684,328,167
"2011","Burnell","E05008149","Total",1742,3,77,343,670,419,230
"2011","Castlefields and Ditherington","E05008150","Total",1993,5,299,731,784,142,32
"2011","Cheswardine","E05008151","Total",1588,0,48,241,748,403,148
"2011","Chirbury and Worthen","E05008152","Total",1262,1,46,289,525,290,111
"2011","Church Stretton and Craven Arms","E05008153","Total",4059,10,272,1085,1709,678,305
"2011","Clee","E05008154","Total",1893,3,95,453,822,387,133
"2011","Cleobury Mortimer","E05008155","Total",2946,2,113,899,1069,617,246
"2011","Clun","E05008156","Total",1744,0,52,413,772,353,154
"2011","Copthorne","E05008157","Total",1662,1,46,204,718,595,98
"2011","Corvedale","E05008158","Total",1544,3,37,281,682,355,186
"2011","Ellesmere Urban","E05008159","Total",1706,3,139,499,712,288,65
"2011","Harlescott","E05008160","Total",2039,1,238,196,1448,122,34
"2011","Highley","E05008161","Total",1583,1,60,596,727,161,38
"2011","Hodnet","E05008162","Total",1412,3,38,236,642,366,127
"2011","Llanymynech","E05008163","Total",1687,3,45,337,791,402,109
"2011","Longden","E05008164","Total",1649,0,127,349,654,360,159
"2011","Loton","E05008165","Total",1576,5,50,282,654,397,188
"2011","Ludlow East","E05008166","Total",1845,1,168,584,833,202,57
"2011","Ludlow North","E05008167","Total",1971,5,295,608,708,263,92
"2011","Ludlow South","E05008168","Total",1813,2,104,509,782,335,81
"2011","Market Drayton East","E05008169","Total",2158,2,213,578,741,485,139
"2011","Market Drayton West","E05008170","Total",3694,6,282,987,1590,723,106
"2011","Meole","E05008171","Total",1742,2,109,214,982,370,65
"2011","Rea Valley","E05008172","Total",1787,0,108,474,743,351,111
"2011","Monkmoor","E05008173","Total",1904,2,224,445,1005,190,38
"2011","Much Wenlock","E05008174","Total",1729,1,121,414,712,343,138
"2011","Oswestry East","E05008175","Total",3866,6,180,1286,1916,403,75
"2011","Oswestry South","E05008176","Total",1990,2,314,597,594,335,148
"2011","Oswestry West","E05008177","Total",1815,4,215,727,617,197,55
"2011","Porthill","E05008178","Total",1854,1,300,407,702,287,157
"2011","Prees","E05008179","Total",1706,3,54,295,796,398,160
"2011","Quarry and Coton Hill","E05008180","Total",2128,17,593,744,507,184,83
"2011","Radbrook","E05008181","Total",1848,3,223,520,547,456,99
"2011","Ruyton and Baschurch","E05008182","Total",1507,0,45,234,599,464,165
"2011","St Martin's","E05008183","Total",1768,2,94,403,882,292,95
"2011","St Oswald","E05008184","Total",1774,1,46,354,731,460,182
"2011","Gobowen, Selattyn and Weston Rhyn","E05008185","Total",2672,4,134,759,1250,408,117
"2011","Severn Valley","E05008186","Total",1817,5,106,445,714,364,183
"2011","Shawbury","E05008187","Total",1806,2,65,349,867,384,139
"2011","Shifnal North","E05008188","Total",2058,5,137,608,956,276,76
"2011","Shifnal South and Cosford","E05008189","Total",1971,8,69,567,875,338,114
"2011","Sundorne","E05008190","Total",1590,3,91,252,1095,119,30
"2011","Tern","E05008191","Total",1815,3,97,360,752,437,166
"2011","The Meres","E05008192","Total",1748,4,34,298,754,445,213
"2011","Underdale","E05008193","Total",1794,3,145,371,947,255,73
"2011","Wem","E05008194","Total",3551,13,242,1063,1381,656,196
"2011","Whitchurch North","E05008195","Total",3126,3,376,961,1206,453,127
"2011","Whitchurch South","E05008196","Total",1761,4,98,392,792,355,120
"2011","Whittington","E05008197","Total",1651,3,27,424,722,349,126
"2011","Worfield","E05008198","Total",1501,2,35,362,629,314,159
"2011","Abbey Hulton and Townsend","E05008714","Total",4262,9,340,1627,2109,135,42
"2011","Baddeley, Milton and Norton","E05008715","Total",7609,9,345,2716,3908,558,73
"2011","Bentilee and Ubberley","E05008716","Total",4686,8,522,1685,2369,82,20
"2011","Birches Head and Central Forest Park","E05008717","Total",5160,9,484,2558,1774,278,57
"2011","Blurton East","E05008718","Total",2312,1,220,750,1197,111,33
"2011","Blurton West and Newstead","E05008719","Total",2847,3,486,842,1289,178,49
"2011","Boothen and Oak Hill","E05008720","Total",2673,5,201,1576,715,134,42
"2011","Bradeley and Chell Heath","E05008721","Total",2364,7,257,653,1345,81,21
"2011","Broadway and Longton East","E05008722","Total",2364,4,199,1022,1027,98,14
"2011","Burslem Central","E05008723","Total",2880,6,519,1290,865,173,27
"2011","Burslem Park","E05008724","Total",2248,6,76,1248,829,68,21
"2011","Dresden and Florence","E05008725","Total",2070,3,211,809,764,245,38
"2011","Eaton Park","E05008726","Total",2075,4,236,683,1069,72,11
"2011","Etruria and Hanley","E05008727","Total",2913,12,475,1428,832,135,31
"2011","Fenton East","E05008728","Total",2873,7,193,1780,812,64,17
"2011","Fenton West and Mount Pleasant","E05008729","Total",2763,2,327,1532,804,89,9
"2011","Ford Green and Smallthorne","E05008730","Total",2677,5,366,1131,922,199,54
"2011","Goldenhill and Sandyford","E05008731","Total",2314,12,220,816,1050,194,22
"2011","Great Chell and Packmoor","E05008732","Total",4193,10,243,1441,1934,513,52
"2011","Hanford and Trentham","E05008733","Total",4973,6,139,1334,2403,944,147
"2011","Hanley Park and Shelton","E05008734","Total",2140,16,287,753,610,286,188
"2011","Hartshill and Basford","E05008735","Total",2972,3,308,1235,1164,197,65
"2011","Hollybush and Longton West","E05008736","Total",2551,7,301,637,1492,87,27
"2011","Joiner's Square","E05008737","Total",2541,22,560,1306,520,97,36
"2011","Lightwood North and Normacot","E05008738","Total",1856,3,60,614,845,277,57
"2011","Little Chell and Stanfield","E05008739","Total",2620,2,159,1023,1278,133,25
"2011","Meir Hay","E05008740","Total",1867,2,71,516,1120,132,26
"2011","Meir North","E05008741","Total",2508,4,200,1083,1136,64,21
"2011","Meir Park","E05008742","Total",2020,3,55,351,965,591,55
"2011","Meir South","E05008743","Total",2354,5,200,788,1139,183,39
"2011","Moorcroft","E05008744","Total",2060,10,182,806,922,81,59
"2011","Penkhull and Stoke","E05008745","Total",3035,4,470,1220,1128,159,54
"2011","Sandford Hill","E05008746","Total",2764,4,284,1028,1355,80,13
"2011","Sneyd Green","E05008747","Total",2264,3,92,681,1373,92,23
"2011","Springfields and Trent Vale","E05008748","Total",2921,3,157,1171,1421,138,31
"2011","Tunstall","E05008749","Total",2674,10,290,1334,910,99,31
"2011","Weston Coyney","E05008750","Total",2172,1,59,696,1273,130,13
"2011","Apley Castle","E05001882","Total",1147,2,37,181,276,522,129
"2011","Arleston","E05001883","Total",1339,2,49,339,780,124,45
"2011","Brookside","E05001884","Total",2671,8,188,410,1572,413,80
"2011","Church Aston and Lilleshall","E05001885","Total",1249,1,59,196,559,336,98
"2011","College","E05001886","Total",1292,2,218,359,419,252,42
"2011","Cuckoo Oak","E05001887","Total",2257,2,161,353,1380,304,57
"2011","Dawley Magna","E05001888","Total",4162,7,417,1426,1756,495,61
"2011","Donnington","E05001889","Total",2714,3,151,699,1576,241,44
"2011","Dothill","E05001890","Total",1113,1,95,315,490,186,26
"2011","Edgmond","E05001891","Total",1034,3,23,145,446,291,126
"2011","Ercall","E05001892","Total",1363,3,77,279,691,234,79
"2011","Ercall Magna","E05001893","Total",1170,2,54,228,557,234,95
"2011","Hadley and Leegomery","E05001894","Total",4392,5,384,1098,2127,676,102
"2011","Haygate","E05001895","Total",1530,7,197,557,640,102,27
"2011","Horsehay and Lightmoor","E05001896","Total",1559,0,44,343,583,456,133
"2011","Ironbridge Gorge","E05001897","Total",1135,2,101,333,453,186,60
"2011","Ketley and Oakengates","E05001898","Total",4063,9,340,1334,1944,356,80
"2011","Lawley and Overdale","E05001899","Total",1969,6,101,483,858,434,87
"2011","Madeley","E05001900","Total",2429,2,368,645,945,395,74
"2011","Malinslee","E05001901","Total",2434,4,232,741,1227,185,45
"2011","Muxton","E05001902","Total",2550,3,101,580,1065,682,119
"2011","Newport East","E05001903","Total",1109,0,31,243,479,318,38
"2011","Newport North","E05001904","Total",1256,2,118,244,441,376,75
"2011","Newport South","E05001905","Total",1139,1,72,225,618,178,45
"2011","Newport West","E05001906","Total",1249,1,161,387,444,213,43
"2011","Park","E05001907","Total",1073,2,40,142,744,112,33
"2011","Priorslee","E05001908","Total",2267,2,41,219,680,1104,221
"2011","St Georges","E05001909","Total",2693,8,269,1055,1105,228,28
"2011","Shawbirch","E05001910","Total",1196,5,38,203,360,544,46
"2011","The Nedge","E05001911","Total",3588,3,240,691,1845,739,70
"2011","Woodside","E05001912","Total",2475,5,79,374,1634,332,51
"2011","Wrockwardine","E05001913","Total",2267,2,81,349,881,727,227
"2011","Wrockwardine Wood and Trench","E05001914","Total",2724,8,114,632,1766,159,45
"2011","Brereton and Ravenhill","E05006902","Total",2743,5,162,636,1597,309,34
"2011","Cannock East","E05006903","Total",3182,7,562,932,1461,190,30
"2011","Cannock North","E05006904","Total",2992,11,436,980,1357,187,21
"2011","Cannock South","E05006905","Total",3461,8,676,1165,1446,137,29
"2011","Cannock West","E05006906","Total",3055,6,278,753,1261,635,122
"2011","Etching Hill and The Heath","E05006907","Total",2720,5,108,376,1746,376,109
"2011","Hagley","E05006908","Total",1836,2,161,236,1065,319,53
"2011","Hawks Green","E05006909","Total",2797,7,95,644,1000,985,66
"2011","Heath Hayes East and Wimblebury","E05006910","Total",2626,6,291,728,1097,416,88
"2011","Hednesford Green Heath","E05006911","Total",2038,0,115,597,1008,292,26
"2011","Hednesford North","E05006912","Total",3094,5,489,1010,1345,205,40
"2011","Hednesford South","E05006913","Total",2145,4,157,435,1117,362,70
"2011","Norton Canes","E05006914","Total",3090,5,256,692,1679,382,76
"2011","Rawnsley","E05006915","Total",1973,3,181,486,877,364,62
"2011","Western Springs","E05006916","Total",2912,7,347,611,1576,307,64
"2011","Abbey","E05006917","Total",1112,0,17,168,416,372,139
"2011","Anglesey","E05006918","Total",2637,3,260,862,1216,210,86
"2011","Bagots","E05006919","Total",1095,0,54,177,398,347,119
"2011","Branston","E05006920","Total",3033,5,194,773,1338,647,76
"2011","Brizlincote","E05006921","Total",2211,0,36,517,828,756,74
"2011","Burton","E05006922","Total",1740,5,387,810,405,118,15
"2011","Churnet","E05006923","Total",1140,1,42,283,550,192,72
"2011","Crown","E05006924","Total",1034,0,23,178,379,345,109
"2011","Eton Park","E05006925","Total",2502,6,182,966,1078,213,57
"2011","Heath","E05006926","Total",2535,11,105,643,1446,281,49
"2011","Horninglow","E05006927","Total",3673,16,368,871,2034,325,59
"2011","Needwood","E05006928","Total",2385,6,155,414,1069,559,182
"2011","Rolleston on Dove","E05006929","Total",1433,0,64,278,622,363,106
"2011","Shobnall","E05006930","Total",2931,6,467,1019,1150,222,67
"2011","Stapenhill","E05006931","Total",3636,7,536,1071,1794,173,55
"2011","Stretton","E05006932","Total",3285,1,166,857,1303,871,87
"2011","Town","E05006933","Total",2942,10,266,809,1078,617,162
"2011","Tutbury and Outwoods","E05006934","Total",2518,6,154,655,1028,493,182
"2011","Weaver","E05006935","Total",900,2,21,195,429,195,58
"2011","Winshill","E05006936","Total",3430,3,260,774,1749,528,116
"2011","Yoxall","E05006937","Total",1079,1,24,136,487,294,137
"2011","All Saints","E05006938","Total",1449,3,24,347,876,180,19
"2011","Alrewas and Fradley","E05006939","Total",2332,0,66,396,980,592,298
"2011","Armitage with Handsacre","E05006940","Total",2185,6,141,625,1015,334,64
"2011","Boley Park","E05006941","Total",2091,8,164,450,685,661,123
"2011","Boney Hay","E05006942","Total",1319,1,151,328,631,175,33
"2011","Bourne Vale","E05006943","Total",695,1,18,88,344,170,74
"2011","Burntwood Central","E05006944","Total",1260,0,32,280,798,124,26
"2011","Chadsmead","E05006945","Total",1542,2,137,476,737,149,41
"2011","Chase Terrace","E05006946","Total",2127,3,117,588,1017,354,48
"2011","Chasetown","E05006947","Total",1615,4,187,524,726,141,33
"2011","Colton and Mavesyn Ridware","E05006948","Total",711,2,18,114,320,177,80
"2011","Curborough","E05006949","Total",2083,7,210,353,1179,266,68
"2011","Fazeley","E05006950","Total",1992,4,87,579,989,269,64
"2011","Hammerwich","E05006951","Total",1406,0,10,281,763,308,44
"2011","Highfield","E05006952","Total",1555,3,68,200,524,638,122
"2011","King's Bromley","E05006953","Total",668,1,24,133,217,204,89
"2011","Leomansley","E05006954","Total",3067,4,343,847,1085,532,256
"2011","Little Aston","E05006955","Total",1104,1,14,158,316,331,284
"2011","Longdon","E05006956","Total",775,1,39,102,349,192,92
"2011","Mease and Tame","E05006957","Total",1412,2,32,270,545,385,178
"2011","St John's","E05006958","Total",2651,3,170,584,973,721,200
"2011","Shenstone","E05006959","Total",1317,1,41,211,529,408,127
"2011","Stonnall","E05006960","Total",625,1,3,118,329,123,51
"2011","Stowe","E05006961","Total",2326,4,334,605,1049,274,60
"2011","Summerfield","E05006962","Total",1562,0,108,333,1022,84,15
"2011","Whittington","E05006963","Total",1355,1,44,228,590,384,108
"2011","Audley and Bignall End","E05006964","Total",2567,1,153,875,1220,255,63
"2011","Bradwell","E05006965","Total",2603,2,202,596,1550,227,26
"2011","Butt Lane","E05006966","Total",2375,4,158,630,1441,120,22
"2011","Chesterton","E05006967","Total",2905,6,275,674,1209,693,48
"2011","Clayton","E05006968","Total",1906,3,168,478,1029,181,47
"2011","Cross Heath","E05006969","Total",2629,4,396,986,1039,172,32
"2011","Halmerend","E05006970","Total",1662,2,82,538,678,281,81
"2011","Holditch","E05006971","Total",1898,5,118,587,1068,103,17
"2011","Keele","E05006972","Total",409,1,32,97,148,87,44
"2011","Kidsgrove","E05006973","Total",2741,2,123,612,1669,302,33
"2011","Knutton and Silverdale","E05006974","Total",1860,3,174,783,816,70,14
"2011","Loggerheads and Whitmore","E05006975","Total",2841,2,43,479,1075,912,330
"2011","Madeley","E05006976","Total",1826,4,99,483,769,396,75
"2011","May Bank","E05006977","Total",2829,10,350,654,1460,266,89
"2011","Newchapel","E05006978","Total",1467,0,39,433,779,182,34
"2011","Porthill","E05006979","Total",1881,5,220,682,765,169,40
"2011","Ravenscliffe","E05006980","Total",1815,4,169,546,876,194,26
"2011","Seabridge","E05006981","Total",2538,0,161,768,1029,481,99
"2011","Silverdale and Parksite","E05006982","Total",1617,0,178,471,837,113,18
"2011","Talke","E05006983","Total",1735,1,109,501,1012,89,23
"2011","Thistleberry","E05006984","Total",2784,12,314,716,1301,353,88
"2011","Town","E05006985","Total",2625,17,704,1220,476,147,61
"2011","Westlands","E05006986","Total",2414,12,156,445,1026,576,199
"2011","Wolstanton","E05006987","Total",2647,4,286,936,1173,192,56
"2011","Bilbrook","E05006988","Total",1902,1,181,636,830,178,76
"2011","Brewood and Coven","E05006989","Total",2940,5,203,851,1165,539,177
"2011","Cheslyn Hay North and Saredon","E05006990","Total",1745,1,47,478,913,253,53
"2011","Cheslyn Hay South","E05006991","Total",1517,4,54,334,781,297,47
"2011","Codsall North","E05006992","Total",1789,7,166,394,835,311,76
"2011","Codsall South","E05006993","Total",1627,0,37,278,764,443,105
"2011","Essington","E05006994","Total",1866,4,39,423,907,410,83
"2011","Featherstone and Shareshill","E05006995","Total",1989,7,75,537,940,389,41
"2011","Great Wyrley Landywood","E05006996","Total",1963,4,55,533,1019,278,74
"2011","Great Wyrley Town","E05006997","Total",2548,3,60,687,1416,313,69
"2011","Himley and Swindon","E05006998","Total",875,0,98,259,295,182,41
"2011","Huntington and Hatherton","E05006999","Total",2034,8,63,623,887,363,90
"2011","Kinver","E05007000","Total",3074,3,222,772,1070,733,274
"2011","Pattingham and Patshull","E05007001","Total",953,0,33,132,472,251,65
"2011","Penkridge North East and Acton Trussell","E05007002","Total",1619,4,71,343,638,444,119
"2011","Penkridge South East","E05007003","Total",1766,1,41,261,924,455,84
"2011","Penkridge West","E05007004","Total",879,1,29,171,445,185,48
"2011","Perton Dippons","E05007005","Total",776,0,23,178,360,161,54
"2011","Perton East","E05007006","Total",831,1,16,93,344,341,36
"2011","Perton Lakeside","E05007007","Total",2804,6,448,740,959,582,69
"2011","Trysull and Seisdon","E05007008","Total",887,2,62,154,319,259,91
